ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
1839,1839,jeːmakete,standing1539,false,expert,Chacon2018,j   -   e ː   m   a   k   e   t   e   -,,Chacon2018
1840,1840,weːmaka,standing1539,false,expert,Chacon2018,w   -   e ː   m   a   k   a   -   -   -,,Chacon2018
1841,1841,teatʃia,standing1544,false,expert,Chacon2018,,,Chacon2018
1842,1842,hiwiʃi,star1545,false,expert,Chacon2018,h   i   w   i   ʃ   i   -   -   -,,Chacon2018
1843,1843,hiwiʃi,star1545,false,expert,Chacon2018,h   i   w   i   ʃ   i   -   -   -,,Chacon2018
1844,1844,hiwiʃída,star1545,false,expert,Chacon2018,h   i   w   i   ʃ   í   -   d   a,,Chacon2018
1845,1845,hiwiʃída,star1545,false,expert,Chacon2018,h   i   w   i   ʃ   í   -   d   a,,Chacon2018
1846,1846,hiwiʐide,star1545,false,expert,Chacon2018,h   i   w   i   ʐ   i   -   d   e,,Chacon2018
1847,1847,waɾiwaðɐpɛ,star91,false,expert,Chacon2018,,,Chacon2018
1848,1848,hiwiʃi,star1545,false,expert,Chacon2018,h   i   w   i   ʃ   i   -   -   -,,Chacon2018
1849,1849,hiwisi,star1545,false,expert,Chacon2018,h   i   w   i   s   i   -   -   -,,Chacon2018
1850,1850,waɾipɛɾa,star91,false,expert,Chacon2018,,,Chacon2018
1851,1851,hivisrida,star1545,false,expert,Chacon2018,h   i   v   i   s   ɾ   i   d   a,,Chacon2018
1852,1852,hivishi,star1545,false,expert,Chacon2018,h   i   v   i   ʃ   i   -   -   -,,Chacon2018
1853,1853,hivisrida,star1545,false,expert,Chacon2018,h   i   v   i   s   ɾ   i   d   a,,Chacon2018
1854,1854,hivisrida,star1545,false,expert,Chacon2018,h   i   v   i   s   ɾ   i   d   a,,Chacon2018
1855,1855,wiminaɽi,star1556,false,expert,Chacon2018,,,Chacon2018
1856,1856,madzakanʰĩdaɽi,straight20,false,expert,Chacon2018,m   a   d z   a   k   a   n ̥ ʰ   ĩ   d   a   ɽ   i,,Chacon2018
1857,1857,madzakani,straight20,false,expert,Chacon2018,m   a   d z   a   k   a   n   i   -   -   -   -,,Chacon2018
1858,1858,mahiaka,straight73,false,expert,Chacon2018,m   a   h   i   a   k   a   -   -   -   -   -,,Chacon2018
1859,1859,ɽiemaka,straight75,false,expert,Chacon2018,ɽ   i   e   m   a   k   a,,Chacon2018
1860,1860,ɽiemaka,straight75,false,expert,Chacon2018,ɽ   i   e   m   a   k   a,,Chacon2018
1861,1861,majakaniː,straight20,false,expert,Chacon2018,m   a   j   a   k   a   n   i ː   -   -   -   -,,Chacon2018
1862,1862,majakani,straight20,false,expert,Chacon2018,m   a   j   a   k   a   n   i   -   -   -   -,,Chacon2018
1863,1863,dzekeːma,straight1249,false,expert,Chacon2018,-   -   d z   e   k   e ː   m   a   -   -,,Chacon2018
1864,1864,madzakandale,straight20,false,expert,Chacon2018,m   a   d z   a   k   a   n   d   a   l   e   -,,Chacon2018
1865,1865,majakan~dali,straight20,false,expert,Chacon2018,m   a   j   a   k   a   n   -   -   -   -   -,,Chacon2018
1866,1866,anɛpiɽi,straight1567,false,expert,Chacon2018,,,Chacon2018
1867,1867,nupatuitaka,suck95,false,expert,Chacon2018,n   u   p   a   t   u   i   t   a   k   a   -,,Chacon2018
1868,1868,nuputsʰoaka,suck95,false,expert,Chacon2018,n   u   p   u   t s ʰ   o   a   k   a   -   -   -,,Chacon2018
1869,1869,nuputsoaka,suck95,false,expert,Chacon2018,n   u   p   u   t s   o   a   k   a   -   -   -,,Chacon2018
1870,1870,heːʐi,suck1578,false,expert,Chacon2018,n   u   p   e   ʐ   u   k   a   -   -   -,,Chacon2018
1871,1871,ɽiputswakawa,suck95,false,expert,Chacon2018,ɽ   i   p   u   t s   w   a   k   a   w   a   -,,Chacon2018
1872,1872,pitsuːtsuka,suck1569,false,expert,Chacon2018,-   -   p   i   t s   u ː   t s   u   k   a   -   -,,Chacon2018
1873,1873,nãtsutsuka,suck1569,false,expert,Chacon2018,n   ã   -   -   t s   u   t s   u   k   a   -   -,,Chacon2018
1874,1874,iperukada,suck1578,false,expert,Chacon2018,-   i   p   e   ɾ   u   k   a   d   a   -,,Chacon2018
1875,1875,iperoketi,suck1578,false,expert,Chacon2018,-   i   p   e   ɾ   o   k   e   t   i   -,,Chacon2018
1876,1876,iːtsotsoketi,suck1569,false,expert,Chacon2018,# N A M E ?,,Chacon2018
1877,1877,liːraka,suck101,false,expert,Chacon2018,l   -   i ː   ɾ   a   k   a   -   -,,Chacon2018
1878,1878,pijuɾuɛhə,suck1578,false,expert,Chacon2018,# N A M E ?,,Chacon2018
