ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
kumadene2,Kumadene_2,bani1255,,,,
kowaidakenai,Kowaidakenai,bani1255,,,,
dzawinai,Dzawinai,bani1255,,,,
tariana,Tariana,bani1255,,,,
aha,Aha,bani1255,,,,
ehe,Ehe,bani1255,,,,
oho,Oho,bani1255,,,,
name,Ñame,bani1255,,,,
werekena,Werekena,bani1255,,,,
waliperi,Waliperi,bani1255,,,,
hohoodene,Hohoodene,bani1255,,,,
mauliene,Mauliene,bani1255,,,,
moliwene,Moliwene,bani1255,,,,
kumadene1,Kumadene_1,bani1255,,,,
