ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
sew,sew,1457,SEW,coser
sharp,sharp,1396,SHARP,afiado
shoot,shoot,1172,SHOOT,atirar
short,short,1645,SHORT,curto
sing,sing,1261,SING,cantar
sit,sit,1416,SIT,sentado
skin,skin,763,SKIN,pele
sky,sky,1732,SKY,céu
sleep,sleep,1585,SLEEP,dormir
small,small,1246,SMALL,pequeno
smell,smell,1586,SMELL (PERCEIVE),cheirar
smoke,smoke,778,SMOKE (EXHAUST),fumaça
smooth,smooth,1234,SMOOTH,liso
snake,snake,730,SNAKE,cobra
soul,soul,811,SOUL,Alma
split,split,1437,SPLIT,rachar
squeeze,squeeze,1414,SQUEEZE,apertar
standing,standing,1442,STAND,de pé
star,star,1430,STAR,estrela
straight,straight,1404,STRAIGHT,reto
suck,suck,1421,SUCK,chupar
sun,sun,1343,SUN,sol
swellup,swell up,1573,SWELL,inchar
swim,swim,1439,SWIM,nadar
tail,tail,1220,TAIL,rabo
tell,tell,1711,TELL,dizer
that,that,78,THAT,aquele
there,there,1937,THERE,ali
they,they,817,THEY,eles
thick,thick,1244,THICK,grosso
thin,thin,2308,THIN,fino
skinny,skinny,1400,THIN (SLIM),Magro
think,think,2271,THINK,pensar
this,this,1214,THIS,este
you,you,1215,THOU,tu
three,three,492,THREE,três
tie,tie,1917,TIE,amarrar
tongue,tongue,1205,TONGUE,língua
tooth,tooth,1380,TOOTH,dente
hometohome,home (to home),2754,TOWARDS,casa (para casa
tree,tree,906,TREE,árvore
turn,turn,1588,TURN,virar
two,two,1498,TWO,dois
vine,vine,343,VINE,cipo
vomit,vomit,1278,VOMIT,vomitar
walk,walk,1443,WALK,andar
wash,wash,1453,WASH,lavar
water,water,948,WATER,água
we,we,1212,WE,nós
wet,wet,1726,WET,molhado
what,what,1236,WHAT,que cousa
when,when,1238,WHEN,quando
where,where,1237,WHERE,onde
white,white,1335,WHITE,branco
who,who,1235,WHO,quem
why,why,1270,WHY,porque
wide,wide,1243,WIDE,largo
wife,wife,1199,WIFE,esposa
wind,wind,960,WIND,vento
wing,wing,1257,WING,asa
withpedro,with pedro,1340,WITH,com Pedro
woman,woman,962,WOMAN,mulher
worm,worm,1219,WORM,vermelho
year,year,1226,YEAR,ano
yellow,yellow,1424,YELLOW,amarelo
yes,yes,1268,YES,sim
youpl,you pl.,1213,YOU,vós
boyyoungman,"boy, young man",76,YOUNG MAN,rapaz
